time,speedofsound,altitude
00:00:16,338.724061738,0.4
00:00:22,337.178454235,0.8
00:00:22,336.790944059,0.9
00:00:18,337.952141582,0.6
00:00:19,337.952141582,0.6
00:00:20,337.565519566,0.7
00:00:22,337.178454235,0.8
00:00:23,336.790944059,0.9
00:00:24,336.402987502,1.0
00:00:25,336.014583017,1.1
00:00:26,335.625729049,1.2
00:00:27,335.236424035,1.3
00:00:28,334.846666401,1.4
00:00:29,334.456454565,1.5
00:00:29,334.065786934,1.6
00:00:30,333.283077878,1.8
00:00:31,332.891033223,1.9
00:00:32,332.498526313,2.0
00:00:33,331.712119164,2.2
00:00:34,331.318215618,2.3
00:00:35,330.529000241,2.5
00:00:36,329.737895911,2.7
00:00:37,329.341631137,2.8
00:00:38,328.547667774,3.0
00:00:39,327.751781078,3.2
00:00:40,326.953957003,3.4
00:00:41,326.154181331,3.6
00:00:42,325.352439671,3.8
00:00:43,324.548717452,4.0
00:00:44,323.742999924,4.2
00:00:45,322.935272152,4.4
00:00:46,321.719878155,4.7
00:00:48,320.092174225,5.1
00:00:50,318.045830031,5.6
00:00:51,317.223596222,5.8
00:00:53,315.158626726,6.3
00:00:54,313.913124925,6.6
00:00:55,313.08003769,6.8
00:00:57,310.987556021,7.3
00:00:59,308.457841528,7.9
00:01:00,307.609980332,8.1
00:01:01,306.333788538,8.4
00:01:02,305.052257818,8.7
00:01:03,303.765320601,9.0
00:01:04,302.472907878,9.3
00:01:05,301.174949157,9.6
00:01:06,299.871372425,9.9
00:01:07,298.562104092,10.2
00:01:08,297.247068951,10.5
00:01:03,295.926190122,10.8
00:01:10,295.042318998,11.2
00:01:11,295.042318998,11.4
00:01:12,295.042318998,11.8
00:01:14,295.042318998,12.5
00:01:15,295.042318998,12.8
00:01:16,295.042318998,13.2
00:01:17,295.042318998,13.6
00:01:18,295.042318998,14.0
00:01:13,295.042318998,14.4
00:01:20,295.042318998,14.8
00:01:21,295.042318998,15.2
00:01:22,295.042318998,15.6
00:01:23,295.042318998,16.0
00:01:24,295.042318998,16.5
00:01:25,295.042318998,16.9
00:01:27,295.042318998,17.8
00:01:28,295.042318998,18.3
00:01:30,295.042318998,18.8
00:01:31,295.042318998,19.3
00:01:32,295.042318998,19.8
00:01:33,295.314561104,20.4
00:01:33,295.654511212,20.9
00:01:34,296.061936088,21.5
00:01:35,296.401029013,22.0
00:01:36,296.807429152,22.6
00:01:42,299.30136986,26.3
00:01:43,299.703837146,26.9
00:01:44,300.172700291,27.6
00:01:45,300.640832223,28.3
00:01:47,301.50829176,29.6
00:01:49,302.506115641,31.1
00:01:50,302.970642142,31.8
00:01:51,304.214716935,32.6
00:01:52,305.506337086,33.3
00:01:53,306.792519466,34.0
00:01:55,309.893881837,35.7
00:01:56,311.342656891,36.5
00:01:57,312.784721494,37.3
00:01:58,314.220168035,38.1
00:01:59,315.827247083,39.0
00:02:00,317.2489275,39.8
00:02:01,318.84074081,40.7
00:02:02,320.249043714,41.5
00:02:03,321.826018215,42.4
00:02:04,323.395302996,43.3
00:02:05,324.957009464,44.2
00:02:06,326.511246361,45.1
00:02:07,328.229544679,46.1
00:02:08,329.768358094,47.0
00:02:09,329.768358094,48.0
00:02:10,329.768358094,48.9
00:02:11,329.768358094,49.9
00:02:12,329.768358094,50.9
00:02:13,328.229544679,51.9
00:02:15,324.783857357,53.9
00:02:16,323.047231841,54.9
00:02:17,321.126096728,56.0
00:02:18,319.369582146,57.0
00:02:19,317.426189846,58.1
00:02:20,315.470825909,59.2
00:02:21,313.503266331,60.3
00:02:22,311.523280029,61.4
00:02:23,309.530628533,62.5
00:02:24,307.7079297,63.5
00:02:25,305.506337086,64.7
00:02:26,303.474180121,65.8
00:02:27,301.428323155,66.9
00:02:28,299.368485315,68.0
00:02:29,297.105102615,69.2
00:02:30,294.824344314,70.4
00:02:31,292.992440176,71.5
00:02:32,291.342152803,72.7
00:02:33,289.682464088,73.9
00:02:35,287.87367021,75.2
00:02:36,286.193867859,76.4
00:02:37,284.504147597,77.6
00:02:38,282.80433165,78.8
00:02:40,279.229815743,81.3
00:02:41,277.497693684,82.5
00:02:42,275.75469171,83.7
00:02:42,274.147204983,84.8
