TIME,PHASE
T-00:00:03, STARTUP THE FALCON 9 FLIGHT COMPUTERS HAVE TAKEN CONTROL DF THE COUNTDOWN 
T-00:00:02, STARTUP THE FALCON 9 FLIGHT COMPUTERS HAVE FAKER CONTROL DF THE COUNTODWN 
00:00:01, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:02, LIFTOFF THE HOLDDOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:03, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:04, LIFTOFF THE HOLODOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:05, LIFTOFF THE HOLDDOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:06, LIFTOFF THE HOLDDOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT 
00:00:08, LIFTOFF THE HOLDDOWN CLAMPS HAVE RELEASED FALCON 9 AND WE HAVE BEGUN OUR FLIGHT
00:02:35, MECO MAIN ENGINE CUTOFF
00:02:36, MECO MAIN ENGINE CUTOFF
00:02:37, MECO MAIN ENGINE CUTOFF 
00:02:39, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:40, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:41, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:42, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:43, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:44, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2 
00:02:45, STAGE SEPARATION STAGE 1 HAS SEPARATED FROM STAGE 2
00:02:47, SES SECOND ENGINE STARTUP 
00:02:48, SES SECOND ENGINE STARTUP 
00:02:49, SES SECOND ENGINE STARTUP 
00:02:50, SES 1 SECOND ENGINE STARTUP 1 
00:02:51, SES 1 SECOND ENGINE STARTUP 1 
00:02:52, SES 1 SECOND ENGINE STARTUP 1
00:03:33, FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED
00:03:34,	FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED
00:03:35,	FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED
00:03:36,	FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED
00:03:37,	FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED
00:03:38,	FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED
00:03:39,	FAIRING DEPLOY THE PROTECTIVE NOSECONE AT THE TOP OF THE ROCKET HAS BEEN DEPLDYED
00:06:26,	STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE
00:06:27,	STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE
00:06:28,	STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE
00:06:29,	STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE
00:06:30,	STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE
00:06:31,	STAGE 1 ENTRY STAGE 1 IS STARTING ITS ENTRY BURN SLOWING IT DOWN FOR ENTRY INTO THE ATMOSPHERE
00:08:15,	STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA
00:08:16,	STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA
00:08:17,	STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA
00:08:18,	STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA
00:08:19,	STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA
00:08:20, STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA
00:08:21, STAGE LANDING STAGE 1 HAS BEGUN ITS LANDING BURN SLOWING IT FOR TOUCHDDWA AT SEA
